Date,Close,Adj Close,Volume,DGS10,VIXCLS
2018-01-02,107.95,85.52,"13,578,800",2.46,9.77
2018-01-03,108.06,85.6,"11,901,000",2.44,9.15
2018-01-04,109.04,86.83,"12,953,700",2.46,9.22
2018-01-05,108.34,86.27,"14,155,000",2.47,9.22
2018-01-08,108.5,86.4,"12,466,500",2.49,9.52
2018-01-09,109.05,86.84,"13,292,300",2.55,10.08
2018-01-10,110.25,87.79,"15,834,500",2.55,9.82
2018-01-11,110.84,88.26,"13,676,800",2.54,9.88
2018-01-12,112.67,89.72,"18,884,200",2.55,10.16
2018-01-16,112.27,89.4,"22,703,300",2.54,11.66
2018-01-17,112.99,89.97,"14,940,300",2.57,11.91
2018-01-18,113.26,90.19,"14,572,900",2.62,12.22
2018-01-19,113.01,89.99,"18,785,500",2.64,11.27
2018-01-22,114.33,91.04,"12,475,700",2.66,11.03
2018-01-23,114.21,90.95,"12,320,800",2.63,11.1
2018-01-24,115.67,92.11,"15,904,500",2.65,11.47
2018-01-25,115.7,92.13,"13,510,000",2.63,11.58
2018-01-26,116.32,92.63,"13,883,900",2.66,11.08
2018-01-29,116.2,92.53,"11,679,900",2.7,13.84
2018-01-30,115.11,91.66,"14,279,100",2.73,14.79
2018-01-31,115.67,92.11,"13,141,400",2.72,13.54
2018-02-01,116.87,93.06,"13,800,600",2.78,13.47
2018-02-02,114.28,91.0,"16,477,300",2.84,17.31
2018-02-05,108.8,86.64,"30,097,600",2.77,37.32
2018-02-06,112.11,89.27,"33,114,800",2.79,29.98
2018-02-07,112.87,89.88,"21,878,300",2.84,27.73
2018-02-08,107.88,85.91,"27,425,800",2.85,33.46
2018-02-09,110.04,87.63,"28,188,000",2.83,29.06
2018-02-12,111.74,88.98,"18,043,300",2.86,25.61
2018-02-13,112.43,89.53,"16,358,200",2.83,24.97
2018-02-14,115.03,91.6,"15,186,900",2.91,19.26
2018-02-15,115.51,91.98,"12,130,200",2.9,19.13
2018-02-16,114.68,91.32,"13,214,300",2.87,19.46
2018-02-20,114.71,91.34,"13,461,500",2.88,20.6
2018-02-21,115.19,91.73,"14,212,500",2.94,20.02
2018-02-22,114.98,91.56,"17,070,400",2.92,18.72
2018-02-23,117.31,93.41,"12,162,500",2.88,16.49
2018-02-26,118.77,94.58,"16,511,200",2.86,15.8
2018-02-27,117.36,93.45,"17,563,300",2.9,18.59
2018-02-28,115.5,91.97,"17,735,600",2.87,19.85
2018-03-01,113.43,90.33,"18,690,000",2.81,22.47
2018-03-02,113.32,90.24,"18,353,700",2.86,19.59
2018-03-05,115.06,91.62,"13,933,000",2.88,18.73
2018-03-06,115.16,91.7,"10,674,400",2.88,18.36
2018-03-07,114.73,91.36,"13,006,500",2.89,17.76
2018-03-08,114.74,91.37,"11,173,700",2.86,16.54
2018-03-09,118.04,94.0,"15,366,600",2.9,14.64
