Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,107.63,108.02,106.81,107.95,85.52,"13,578,800"
2018-01-03,107.86,108.49,107.48,108.06,85.6,"11,901,000"
2018-01-04,108.36,110.03,108.2,109.04,86.83,"12,953,700"
2018-01-05,109.26,109.55,107.78,108.34,86.27,"14,155,000"
2018-01-08,108.15,108.68,107.7,108.5,86.4,"12,466,500"
2018-01-09,108.72,109.63,108.49,109.05,86.84,"13,292,300"
2018-01-10,109.47,110.7,109.39,110.25,87.79,"15,834,500"
2018-01-11,110.67,110.93,110.05,110.84,88.26,"13,676,800"
2018-01-12,111.65,112.85,110.84,112.67,89.72,"18,884,200"
2018-01-16,111.51,113.43,111.07,112.27,89.4,"22,703,300"
2018-01-17,111.89,113.3,111.31,112.99,89.97,"14,940,300"
2018-01-18,112.76,113.72,112.27,113.26,90.19,"14,572,900"
2018-01-19,113.94,114.34,112.8,113.01,89.99,"18,785,500"
2018-01-22,112.66,114.39,112.5,114.33,91.04,"12,475,700"
2018-01-23,113.67,114.64,113.35,114.21,90.95,"12,320,800"
2018-01-24,114.86,116.0,114.66,115.67,92.11,"15,904,500"
2018-01-25,116.04,116.17,115.08,115.7,92.13,"13,510,000"
2018-01-26,115.7,116.32,114.96,116.32,92.63,"13,883,900"
2018-01-29,116.02,117.35,116.02,116.2,92.53,"11,679,900"
2018-01-30,115.53,116.6,114.98,115.11,91.66,"14,279,100"
2018-01-31,115.65,116.66,115.16,115.67,92.11,"13,141,400"
2018-02-01,115.77,116.99,115.48,116.87,93.06,"13,800,600"
2018-02-02,116.49,116.92,114.09,114.28,91.0,"16,477,300"
2018-02-05,113.0,114.59,103.98,108.8,86.64,"30,097,600"
2018-02-06,106.85,112.48,106.61,112.11,89.27,"33,114,800"
2018-02-07,111.55,114.45,111.15,112.87,89.88,"21,878,300"
2018-02-08,113.11,113.11,107.84,107.88,85.91,"27,425,800"
2018-02-09,109.1,111.05,106.23,110.04,87.63,"28,188,000"
2018-02-12,111.17,112.73,110.07,111.74,88.98,"18,043,300"
2018-02-13,111.32,113.05,110.8,112.43,89.53,"16,358,200"
2018-02-14,112.63,115.27,112.53,115.03,91.6,"15,186,900"
2018-02-15,115.74,115.99,114.22,115.51,91.98,"12,130,200"
2018-02-16,114.55,116.07,114.5,114.68,91.32,"13,214,300"
2018-02-20,114.65,115.39,113.97,114.71,91.34,"13,461,500"
2018-02-21,115.0,117.45,114.67,115.19,91.73,"14,212,500"
2018-02-22,115.5,116.43,114.76,114.98,91.56,"17,070,400"
2018-02-23,115.31,117.39,115.31,117.31,93.41,"12,162,500"
2018-02-26,118.14,118.9,117.32,118.77,94.58,"16,511,200"
2018-02-27,118.91,119.33,117.35,117.36,93.45,"17,563,300"
2018-02-28,117.82,118.49,115.34,115.5,91.97,"17,735,600"
2018-03-01,115.48,116.64,112.65,113.43,90.33,"18,690,000"
2018-03-02,112.39,113.56,111.12,113.32,90.24,"18,353,700"
2018-03-05,112.05,115.93,111.89,115.06,91.62,"13,933,000"
2018-03-06,115.64,115.82,114.32,115.16,91.7,"10,674,400"
2018-03-07,113.75,115.1,113.11,114.73,91.36,"13,006,500"
2018-03-08,115.11,115.23,113.21,114.74,91.37,"11,173,700"
2018-03-09,116.55,118.08,115.67,118.04,94.0,"15,366,600"
2018-03-12,118.0,118.75,117.25,117.66,93.69,"12,339,300"
2018-03-13,118.2,118.47,115.83,116.25,92.57,"13,312,300"
2018-03-14,116.56,116.59,114.6,114.95,91.54,"12,905,100"
2018-03-15,115.87,116.0,114.83,115.24,91.77,"8,748,000"
2018-03-16,115.34,116.6,115.34,115.44,91.93,"19,888,900"
2018-03-19,115.1,115.45,113.3,114.53,91.2,"13,214,900"
2018-03-20,114.87,115.45,114.45,114.64,91.29,"9,921,200"
2018-03-21,114.81,116.63,114.21,114.74,91.37,"13,633,000"
2018-03-22,113.2,113.6,109.54,109.95,87.55,"22,550,400"
2018-03-23,110.27,110.92,106.76,107.01,85.21,"23,081,500"
2018-03-26,109.19,111.16,108.65,110.31,87.84,"20,217,500"
2018-03-27,111.07,111.69,107.3,108.17,86.14,"18,039,900"
2018-03-28,108.28,109.17,106.65,108.0,86.0,"19,189,300"
2018-03-29,108.5,110.78,107.78,109.97,87.57,"13,274,600"
2018-04-02,109.96,110.73,106.08,107.85,85.88,"18,822,500"
2018-04-03,108.36,109.5,107.26,109.33,87.06,"14,050,700"
2018-04-04,107.1,111.21,107.02,110.99,88.38,"15,302,600"
2018-04-05,111.63,112.83,111.39,111.88,89.54,"16,627,000"
2018-04-06,110.55,111.55,107.82,109.09,87.31,"18,906,000"
2018-04-09,110.01,112.98,109.89,110.4,88.36,"15,974,300"
2018-04-10,112.13,112.87,111.42,112.51,90.05,"13,951,400"
2018-04-11,111.66,111.81,110.52,110.62,88.53,"14,503,300"
2018-04-12,111.56,114.39,111.5,113.37,90.74,"16,435,500"
2018-04-13,115.02,115.15,109.05,110.3,88.28,"39,152,800"
2018-04-16,110.94,111.47,109.79,110.21,88.21,"16,580,500"
2018-04-17,111.37,111.92,109.99,110.21,88.21,"15,501,400"
2018-04-18,110.53,111.07,108.89,109.32,87.49,"16,081,400"
2018-04-19,109.53,111.87,109.5,111.72,89.41,"17,911,000"
2018-04-20,112.3,112.74,110.88,111.47,89.21,"15,584,400"
2018-04-23,111.57,111.95,110.63,110.93,88.78,"11,285,800"
2018-04-24,111.75,112.9,109.59,110.41,88.37,"16,453,100"
2018-04-25,110.27,110.53,108.6,109.99,88.03,"13,548,200"
2018-04-26,109.97,110.82,109.34,110.1,88.12,"10,299,500"
2018-04-27,109.55,110.16,109.13,109.4,87.56,"9,384,000"
2018-04-30,109.75,110.3,108.75,108.78,87.06,"13,744,900"
2018-05-01,108.45,108.97,107.54,108.78,87.06,"10,503,400"
2018-05-02,108.11,109.49,107.73,107.92,86.37,"12,162,100"
2018-05-03,107.59,107.77,105.18,107.24,85.83,"15,379,100"
2018-05-04,106.43,108.74,105.98,108.43,86.78,"11,967,900"
2018-05-07,108.76,109.68,108.36,109.37,87.53,"9,356,700"
2018-05-08,109.53,111.34,109.28,110.99,88.83,"12,543,200"
2018-05-09,111.44,113.64,111.03,113.41,90.77,"11,368,100"
2018-05-10,113.19,114.44,112.75,114.29,91.47,"9,159,700"
2018-05-11,114.49,114.73,113.67,113.86,91.13,"10,253,000"
2018-05-14,114.11,114.7,113.74,113.9,91.16,"8,710,700"
2018-05-15,113.91,113.91,112.57,113.03,90.46,"11,536,200"
2018-05-16,112.89,113.69,112.63,113.34,90.71,"7,571,100"
2018-05-17,113.2,113.41,112.2,112.96,90.41,"8,617,200"
2018-05-18,112.75,112.8,110.84,111.13,88.94,"11,806,300"
2018-05-21,112.05,112.54,111.92,112.15,89.76,"9,441,900"
2018-05-22,112.35,114.29,112.29,113.01,90.45,"11,507,600"
2018-05-23,112.51,112.77,111.12,112.49,90.03,"11,453,900"
2018-05-24,112.14,112.15,110.12,111.23,89.02,"14,084,800"
2018-05-25,110.46,111.08,110.2,110.66,88.57,"8,283,500"
2018-05-29,109.18,109.2,104.96,105.93,84.78,"30,643,800"
2018-05-30,107.64,108.6,106.65,108.35,86.72,"17,490,800"
2018-05-31,107.95,108.19,106.42,107.01,85.65,"19,808,200"
2018-06-01,108.34,108.94,107.8,108.4,86.76,"13,594,200"
2018-06-04,108.99,109.26,108.27,108.45,86.8,"9,415,400"
2018-06-05,108.24,108.31,107.07,107.84,86.31,"10,415,200"
2018-06-06,108.66,110.74,108.48,110.36,88.33,"15,453,600"
2018-06-07,111.18,111.5,110.03,110.8,88.68,"13,444,400"
2018-06-08,110.62,111.14,110.06,111.11,88.93,"10,383,200"
2018-06-11,111.12,111.91,110.77,110.83,88.7,"12,642,900"
2018-06-12,111.14,111.53,109.52,110.19,88.19,"15,294,100"
2018-06-13,110.46,111.45,109.58,109.97,88.01,"14,979,700"
2018-06-14,110.28,110.36,107.78,108.03,86.46,"20,487,300"
2018-06-15,107.8,108.38,106.27,107.9,86.36,"26,028,600"
2018-06-18,107.26,108.4,106.69,108.18,86.58,"9,786,800"
2018-06-19,106.9,107.88,106.6,107.55,86.08,"12,707,200"
2018-06-20,108.18,108.64,107.44,107.54,86.07,"8,876,900"
2018-06-21,107.1,108.21,106.53,107.51,86.05,"11,048,700"
2018-06-22,108.16,108.37,105.51,105.75,84.64,"19,478,900"
2018-06-25,105.66,105.7,103.96,104.79,83.87,"16,907,600"
2018-06-26,104.71,105.21,103.11,104.86,83.92,"17,086,800"
2018-06-27,104.68,105.92,103.23,103.24,82.63,"16,276,800"
2018-06-28,103.68,105.46,103.51,104.93,83.98,"14,491,300"
2018-06-29,106.68,106.9,104.15,104.2,83.4,"18,972,400"
2018-07-02,103.72,105.09,103.38,105.08,84.1,"11,130,000"
2018-07-03,105.41,105.78,103.52,103.61,82.92,"8,311,700"
2018-07-05,104.13,104.38,103.53,103.72,83.46,"10,723,400"
2018-07-06,103.12,104.5,102.2,104.06,83.74,"12,173,700"
2018-07-09,104.71,107.46,104.71,107.28,86.33,"13,900,800"
2018-07-10,108.02,108.4,106.53,106.62,85.8,"14,575,900"
2018-07-11,106.31,107.06,106.21,106.39,85.61,"10,186,500"
2018-07-12,107.42,107.56,105.97,106.85,85.98,"12,456,800"
2018-07-13,107.3,107.8,105.14,106.36,85.59,"21,289,100"
2018-07-16,107.05,110.77,106.98,110.58,88.98,"24,662,600"
2018-07-17,110.69,110.93,109.75,110.5,88.92,"14,821,900"
2018-07-18,110.42,112.12,110.2,111.53,89.75,"14,244,900"
2018-07-19,111.06,111.09,109.73,109.89,88.43,"16,775,300"
2018-07-20,110.0,111.74,109.78,111.28,89.55,"13,578,100"
2018-07-23,111.06,114.24,110.93,113.35,91.21,"18,140,000"
2018-07-24,113.55,114.78,113.42,114.15,91.86,"14,000,400"
2018-07-25,113.88,115.52,113.38,115.18,92.68,"13,329,100"
2018-07-26,115.42,115.59,114.58,114.85,92.42,"11,897,800"
2018-07-27,115.18,116.3,114.81,116.03,93.37,"12,802,700"
2018-07-30,116.28,117.61,116.06,116.73,93.93,"13,411,600"
2018-07-31,117.08,117.08,114.82,114.95,92.5,"15,843,800"
2018-08-01,115.75,116.69,115.28,115.66,93.07,"13,531,600"
2018-08-02,114.57,116.25,114.33,116.15,93.47,"11,058,100"
2018-08-03,116.0,117.13,115.94,117.09,94.22,"11,016,100"
2018-08-06,116.79,117.53,116.18,117.12,94.25,"9,857,400"
2018-08-07,117.74,118.29,117.33,117.55,94.59,"10,562,100"
2018-08-08,117.33,118.27,117.28,117.79,94.79,"8,997,100"
2018-08-09,117.51,117.72,116.7,116.88,94.05,"9,694,200"
2018-08-10,115.5,115.95,114.68,115.73,93.13,"12,630,600"
2018-08-13,115.56,115.88,113.82,113.89,91.65,"10,336,300"
2018-08-14,114.27,115.04,113.65,114.65,92.26,"10,597,600"
2018-08-15,113.82,114.33,112.97,113.7,91.49,"10,152,100"
2018-08-16,114.35,115.31,114.3,114.77,92.35,"10,118,600"
2018-08-17,114.64,115.07,114.3,114.77,92.35,"8,505,100"
2018-08-20,114.59,115.05,114.11,114.62,92.23,"8,618,700"
2018-08-21,115.37,116.39,114.88,115.32,92.8,"10,976,700"
2018-08-22,115.31,115.41,114.78,114.97,92.52,"8,314,700"
2018-08-23,114.96,115.15,114.43,114.73,92.32,"9,265,400"
2018-08-24,114.98,115.22,114.45,114.68,92.28,"8,845,700"
2018-08-27,115.22,117.28,115.17,116.71,93.92,"13,768,000"
2018-08-28,117.0,117.03,115.97,116.14,93.46,"8,302,600"
2018-08-29,116.35,116.37,115.36,115.76,93.15,"7,221,700"
2018-08-30,115.59,116.04,114.98,115.19,92.69,"8,991,800"
2018-08-31,114.83,114.84,113.82,114.58,92.2,"13,065,700"
2018-09-04,114.34,115.24,113.63,115.15,92.66,"10,174,200"
2018-09-05,115.0,115.7,114.25,114.59,92.21,"11,462,400"
2018-09-06,114.5,114.7,113.5,114.1,91.82,"9,877,600"
2018-09-07,114.5,114.77,113.63,114.32,91.99,"10,955,600"
2018-09-10,114.85,114.97,113.66,113.71,91.5,"8,276,900"
2018-09-11,113.54,114.58,113.18,114.43,92.08,"9,333,800"
